DEPARTMENT;AGE_GROUP;WORK_GROUP;HEALTH_GROUP;POPULATION
ATLANTICO;e5;M;H;888
ATLANTICO;e6;M;H;412
ATLANTICO;e7;M;H;71
BOGOTA D.C.;e0;M;H;0
BOGOTA D.C.;e1;M;H;209
BOGOTA D.C.;e2;M;H;21506
BOGOTA D.C.;e3;M;H;16631
BOGOTA D.C.;e4;M;H;7898
BOGOTA D.C.;e5;M;H;4573
BOGOTA D.C.;e6;M;H;1788
BOGOTA D.C.;e7;M;H;389
BOLIVAR;e0;M;H;0
BOLIVAR;e1;M;H;8
BOLIVAR;e2;M;H;3942
BOLIVAR;e3;M;H;3272
BOLIVAR;e4;M;H;1553
BOLIVAR;e5;M;H;683
BOLIVAR;e6;M;H;259
BOLIVAR;e7;M;H;51
BOYACA;e0;M;H;0
BOYACA;e1;M;H;29
BOYACA;e2;M;H;2482
BOYACA;e3;M;H;1532
BOYACA;e4;M;H;713
BOYACA;e5;M;H;358
BOYACA;e6;M;H;106
BOYACA;e7;M;H;20
CALDAS;e0;M;H;0
CALDAS;e1;M;H;21
CALDAS;e2;M;H;2350
CALDAS;e3;M;H;1634
CALDAS;e4;M;H;723
CALDAS;e5;M;H;412
CALDAS;e6;M;H;165
CALDAS;e7;M;H;39
CAQUETA;e0;M;H;0
CAQUETA;e1;M;H;10
CAQUETA;e2;M;H;846
CAQUETA;e3;M;H;594
CAQUETA;e4;M;H;250
CAQUETA;e5;M;H;111
CAQUETA;e6;M;H;36
CAQUETA;e7;M;H;5
CASANARE;e0;M;H;0
CASANARE;e1;M;H;4
CASANARE;e2;M;H;506
CASANARE;e3;M;H;420
CASANARE;e4;M;H;188
CASANARE;e5;M;H;77
CASANARE;e6;M;H;18
CASANARE;e7;M;H;4
CAUCA;e0;M;H;0
CAUCA;e1;M;H;34
CAUCA;e2;M;H;3596
CAUCA;e3;M;H;2632
CAUCA;e4;M;H;1281
CAUCA;e5;M;H;580
CAUCA;e6;M;H;137
CAUCA;e7;M;H;26
CESAR;e0;M;H;0
CESAR;e1;M;H;36
CESAR;e2;M;H;2494
CESAR;e3;M;H;1809
CESAR;e4;M;H;810
CESAR;e5;M;H;321
CESAR;e6;M;H;136
CESAR;e7;M;H;22
CHOCO;e0;M;H;0
CHOCO;e1;M;H;3
CHOCO;e2;M;H;351
CHOCO;e3;M;H;447
CHOCO;e4;M;H;274
CHOCO;e5;M;H;127
CHOCO;e6;M;H;45
CHOCO;e7;M;H;5
CORDOBA;e0;M;H;0
CORDOBA;e1;M;H;42
CORDOBA;e2;M;H;3779
CORDOBA;e3;M;H;2434
CORDOBA;e4;M;H;1055
CORDOBA;e5;M;H;412
CORDOBA;e6;M;H;193
CORDOBA;e7;M;H;16
CUNDINAMARCA;e0;M;H;0
CUNDINAMARCA;e1;M;H;106
CUNDINAMARCA;e2;M;H;4665
CUNDINAMARCA;e3;M;H;2567
CUNDINAMARCA;e4;M;H;1256
CUNDINAMARCA;e5;M;H;607
CUNDINAMARCA;e6;M;H;173
CUNDINAMARCA;e7;M;H;31
GUAINIA;e0;M;H;0
GUAINIA;e1;M;H;0
GUAINIA;e2;M;H;37
GUAINIA;e3;M;H;50
GUAINIA;e4;M;H;12
GUAINIA;e5;M;H;5
GUAINIA;e6;M;H;1
GUAINIA;e7;M;H;0
GUAVIARE;e0;M;H;0
GUAVIARE;e1;M;H;1
GUAVIARE;e2;M;H;136
GUAVIARE;e3;M;H;105
GUAVIARE;e4;M;H;54
GUAVIARE;e5;M;H;34
GUAVIARE;e6;M;H;10
GUAVIARE;e7;M;H;2
HUILA;e0;M;H;0
HUILA;e1;M;H;49
HUILA;e2;M;H;2946
HUILA;e3;M;H;1998
HUILA;e4;M;H;896
HUILA;e5;M;H;433
HUILA;e6;M;H;149
HUILA;e7;M;H;33
LA GUAJIRA;e0;M;H;0
LA GUAJIRA;e1;M;H;11
LA GUAJIRA;e2;M;H;1391
